Gene.Chr	MCF7	BT474	ZR751	T47D	MDAMB468	MDAMB231	BT20
LIPK.10	11	1	4	0	21	0	6
LIPM.10	0	2	3	0	0	0	0
LIPN.10	0	0	4	0	0	0	0
LIPT1.2	137	197	122	162	357	114	163
LITAF.16	5526	5173	10324	5714	9380	3309	8322
LIX1.5	0	5	3	6	0	0	0
LIX1L.1	21	11	53	92	137	677	11
LLGL1.17	3145	1012	889	1632	1708	4677	4918
LLGL2.17	36145	7446	8736	6531	6428	702	2990
LMAN1.18	1543	5653	6083	4569	4442	2931	2493
LMAN1L.15	8	11	10	13	2	3	3
LMAN2.5	10456	5347	4840	6585	6343	5722	6151
LMAN2L.2	1266	1162	999	1494	708	1410	1711
LMBR1.7	6866	2876	2898	1936	2394	2228	4361
LMBR1L.12	1335	516	448	671	233	580	347
LMBRD1.6	852	1005	1280	1370	2157	614	572
LMBRD2.5	732	1691	1260	1716	878	418	1870
LMCD1.3	897	890	534	1981	283	92	703
LMF1.16	1257	486	699	520	137	34	277
LMF2.22	1954	2584	2741	2912	4497	3846	3676
LMLN.3	210	258	236	988	158	519	173
LMNA.1	17209	20346	18710	26416	35638	35652	35505
LMNB1.5	7327	6897	5349	7139	9529	6657	9566
LMNB2.19	7118	11168	7794	8809	9195	20780	22925
LMO1.11	36	7	36	0	4	0	33
LMO2.11	78	22	22	9	134	54	163
LMO3.12	6	242	108	12	0	0	0
LMO4.1	502	14025	534	4949	6973	2277	2903
LMO7.13	1500	618	2670	2236	2877	1538	2739
LMOD1.1	8	30	12	129	58	9	41
LMOD2.7	0	7	4	0	0	0	2
LMOD3.3	4	4	4	2	4	6	7
LMTK2.7	2615	1582	1561	1028	1544	1503	1691
LMTK3.19	1094	46	1618	630	548	24	869
LMX1A.1	1	3	2	10	0	0	0
LMX1B.9	5561	14992	2002	2100	865	191	938
LNP1.3	80	109	43	51	372	50	174
LNPEP.5	1594	752	1710	3549	1912	1801	1597
LNX1.4	642	879	755	501	273	56	374
LNX2.13	2028	2116	1083	1227	1117	436	2219
LOC100128378.3	0	4	0	0	3	2	0
LOC100129128.6	12	14	10	1	18	9	8
LOC100129533.9	0	2	0	0	1	0	0
LOC100129534.1	45	97	61	73	89	96	245
LOC100129550.3	215	362	225	134	415	353	112
LOC100130613.x	0	0	0	0	0	0	0
LOC100131187.1	1	3	1	2	1	0	2
LOC100131439.17	0	0	1	0	0	0	0
LOC100131897.5	0	7	0	0	1	518	0
LOC100132832.7	20	9	3	25	22	4	12
LOC100134934.17	785	247	532	847	640	392	732
LOC100137047.15	253	323	253	547	173	131	195
LOC116236.17	1553	550	1194	1422	299	837	860
LOC116349.5	332	361	116	289	99	102	431
LOC120126.11	0	0	0	0	0	1	0
LOC123688.15	144	35	195	242	222	39	225
LOC124220.16	714	858	871	633	11	0	276
LOC124512.17	1033	670	1536	1607	1682	974	595
LOC126075.19	658	851	327	203	111	43	63
LOC126147.19	75	58	5	10	45	4	14
LOC126661.1	79	16	24	85	42	30	91
LOC129293.2	2	7	7	0	19	475	13
LOC129881.2	1	3	9	19	20	3	52
LOC130355.2	161	192	209	135	174	61	136
LOC130576.2	1507	443	630	264	1403	43	1682
LOC133874.5	0	0	0	9	0	0	0
LOC134121.5	99	5	74	78	0	0	0
LOC134145.5	688	433	699	767	879	247	381
LOC136157.7	0	0	0	0	0	0	0
LOC136242.7	1	0	0	0	0	1	0
LOC137886.8	1976	2277	1476	2283	1833	793	1208
LOC143678.11	5	4	4	6	7	3	20
LOC144097.11	1451	2906	865	1412	1514	2540	1313
LOC144983.13	216	291	212	206	243	183	250
LOC145814.15	2	2	0	2	2	1	2
LOC146325.16	2	4	4	0	0	2	0
LOC149643.1	2	5	10	1	12	3	0
LOC150297.22	0	0	0	0	0	0	0
LOC150383.22	141	202	148	302	299	196	195
LOC150763.2	33	32	13	20	26	1511	18
LOC150786.2	19	102	4	2	8	3	17
LOC152118.3	0	0	0	0	0	0	0
LOC153328.5	13	194	8	79	0	0	0
LOC153364.5	448	319	507	398	865	281	378
LOC154907.7	0	1	0	0	0	0	0
LOC158830.x	0	0	4	0	2	0	0
LOC162073.16	971	4475	2633	2055	4851	2645	6936
LOC162993.19	94	85	60	93	709	19	61
LOC165186.2	9	6	3	5	10	490	6
LOC169834.9	2	0	57	593	162	4	434
LOC170082.x	82	273	110	188	90	27	30
LOC196415.12	35	108	79	43	95	41	65
LOC196541.13	0	0	0	0	0	0	0
LOC196913.14	3	5	0	0	2	3	0
LOC196993.15	111	1173	263	233	11	9	19
LOC198437.20	47	10	25	1	0	1	13
LOC199800.19	273	103	52	195	63	140	626
LOC200726.2	0	0	0	0	0	0	0
LOC200810.3	341	29	39	115	11	10	150
LOC201164.17	613	453	516	204	325	590	361
LOC201175.17	122	135	108	226	199	457	637
LOC201229.17	265	242	172	588	64	40	15
LOC201725.4	503	753	496	470	836	860	1798
LOC202459.6	1	1	1	1	1	1	0
LOC203547.x	2239	1058	1768	948	6591	1521	3088
LOC23117.16	2628	1160	1448	1059	1358	1169	1136
LOC253012.7	4	32	27	0	2	0	0
LOC255374.7	93	109	49	27	47	31	46
LOC26010.2	3119	1157	629	986	5088	8058	6042
LOC283129.11	1	0	4	1	2	0	0
LOC283152.11	139	11	10	264	66	17	100
LOC283331.12	6	0	4	6	4	1	19
LOC283514.13	4	9	1	0	0	3	0
LOC283551.14	46	32	67	28	150	44	73
LOC283677.15	0	0	0	1	4	0	0
LOC283755.15	335	1249	358	579	178	288	540
LOC283767.15	3	9	3	3	1	0	1
LOC283867.16	0	1	0	0	5	0	2
LOC283871.16	3757	1576	2361	2466	1607	1413	2440
LOC283902.16	1	4	1	0	0	0	0
LOC283951.16	639	290	431	342	420	211	381
LOC284009.17	10	4	3	2	9	5	18
LOC284194.17	0	0	1	1	1	4	1
LOC284402.19	1	9	0	2	6	3	5
LOC284417.19	16	10	12	2	3	2	0
LOC285033.2	39	44	14	17	48	52	56
LOC285501.4	4	4	2	2	4	0	2
LOC285636.5	1675	4446	2083	3297	3069	2224	3673
LOC285908.7	425	757	195	217	137	66	333
LOC286238.9	0	0	0	0	2	0	0
LOC338809.12	0	1	2	0	0	0	0
LOC339047.16	0	0	0	0	0	0	0
LOC339123.16	2467	1573	2212	2068	535	968	1934
LOC339344.19	478	251	404	232	418	155	683
LOC339778.2	3	0	2	5	71	36	0
LOC340204.6	4	2	40	124	4	0	10
LOC340286.7	2	4	0	0	0	0	0
LOC340602.x	2	0	0	4	0	0	0
LOC342897.19	16	65	1038	10	3664	0	631
LOC342994.19	2	0	1	1	3	1	1
LOC345222.4	39	7	10	12	1	8	12
LOC347475.x	0	7	14	96	102	0	1
LOC347487.x	0	0	0	0	0	0	0
LOC348174.16	2	3	2	1	0	2	5
LOC374569.14	14	4	3	8	0	0	8
LOC387856.12	7	7	16	6	8	0	0
LOC388135.15	23	478	329	16	34	26	73
LOC388199.16	10	4	5	4	2	4	4
LOC388327.17	211	63	45	105	88	87	132
LOC388333.17	1	0	0	0	0	0	2
LOC388381.17	2	122	8	8	1	0	1
LOC388419.17	0	0	0	4	0	0	0
LOC388503.19	8	27	11	0	13	0	0
LOC388610.1	198	86	23	120	372	184	178
LOC388910.22	0	2	0	0	0	0	0
LOC388931.2	13	7	4	4	23	1	4
LOC388969.2	1980	1646	898	1591	2076	1456	2214
LOC389073.2	0	0	3	0	0	0	1
LOC389118.3	2	1	4	1	2	3	0
LOC389151.3	5	6	1	0	5	0	0
LOC389207.4	0	4	0	0	0	1	0
LOC389257.5	2	7	2	15	0	0	0
LOC389435.6	1	15	7	4	8	5	4
LOC389672.8	4	5	1	1	1	3	3
LOC389813.9	456	299	226	717	160	249	700
LOC389827.9	0	0	0	0	0	0	0
LOC390110.11	0	2	1	0	0	0	0
LOC390243.11	4	11	8	2	0	1	0
LOC390594.15	2	3	0	0	0	0	0
LOC390637.15	159	119	126	159	97	63	234
LOC390667.16	22	21	11	1	0	2	11
LOC390688.16	1	0	0	0	0	1	0
LOC390748.16	46	17	25	38	7	9	20
LOC391343.2	0	0	0	0	2	2	0
LOC391356.2	1065	683	465	733	739	1112	978
LOC392145.7	0	0	0	0	0	0	0
LOC392979.7	12	20	7	4	14	7	9
LOC399947.11	0	0	0	0	2	0	0
LOC400506.16	979	2078	1611	1184	1130	503	1320
LOC400566.17	222	119	74	69	183	28	90
LOC400581.17	0	0	0	0	0	0	0
LOC400831.20	0	0	2	0	0	0	0
LOC401052.3	120	153	121	229	52	45	227
LOC401089.3	16	15	4	9	5	2	2
LOC401152.4	2283	2109	1957	1671	1741	1262	2320
LOC401335.7	0	6	7	7	16	3	0
LOC401399.7	83	38	57	10	25	11	27
LOC402057.22	10	7	14	10	10	4	5
LOC402117.2	0	0	0	0	0	0	0
LOC402176.4	1	3	4	0	2	1	1
LOC402573.7	58	34	15	6	28	12	21
LOC402644.7	0	0	0	0	0	0	0
LOC402665.19	6	17	9	28	4	3	11
LOC402694.7	4	7	2	4	0	3	1
LOC440087.12	37	0	6	34	4	2	12
LOC440093.12	100	17	40	30	70	25	16
LOC440145.13	487	915	2023	907	1894	776	842
LOC440295.15	3	0	1	1	0	2	1
LOC440348.16	116	52	3	197	68	36	343
LOC440350.16	0	0	0	0	0	0	0
LOC440567.1	96	210	203	174	413	119	125
LOC440585.1	21	0	6	21	24	10	0
LOC440836.22	52	19	123	17	189	24	215
LOC440957.3	221	87	264	99	263	221	435
LOC441054.4	5	6	2	11	8	8	1
LOC441108.5	15	5	3	13	131	34	21
LOC441150.6	450	149	97	158	170	201	286
LOC441282.7	0	6	15	0	554	0	1695
LOC441294.7	4	2	2	0	19	0	18
LOC441376.8	114	4	15	60	38	3	21
LOC441476.9	24	24	52	107	8	1	138
LOC441956.21	0	98	0	37	0	0	0
LOC442459.x	4	11	3	8	4	5	12
LOC442590.7	40	19	11	10	9	6	14
LOC442726.7	0	0	1	2	0	0	0
LOC492311.5	192	274	179	360	374	205	196
LOC4951.7	0	4	0	0	0	0	0
LOC497190.16	1	3	0	0	0	0	0
LOC51035.11	3839	2390	1236	3662	2436	3630	2756
LOC51057.2	213	73	166	167	271	117	193
LOC51149.5	347	97	106	178	287	68	190
LOC51233.22	7	23	17	1	4	0	5
LOC51252.2	230	193	52	5	21	2	21
LOC54103.7	118	228	204	343	348	265	87
LOC550631.22	168	115	105	160	100	104	144
LOC553158.22	1	1	0	0	0	0	0
LOC554235.19	23	25	5	3	2	2	30
LOC55908.19	121	17	4	6	6	0	1
LOC57228.12	583	146	401	1049	1088	1148	1467
LOC606495.1	251	601	203	383	497	374	218
LOC619208.6	19	26	129	399	349	118	212
LOC63920.5	255	201	215	349	535	216	343
LOC641961.7	8	29	14	17	34	6	13
LOC642587.1	52	13	93	242	1750	0	806
LOC643007.15	5	0	5	2	29	2	2
LOC643226.5	0	1	0	0	0	0	0
LOC643246.12	31	30	27	15	40	28	21
LOC643641.7	1431	2187	796	688	939	827	619
LOC643751.4	48	59	56	53	88	29	48
LOC643752.12	0	0	1	0	3	0	2
LOC643896.2	3	2	1	2	6	1	0
LOC643905.2	0	3	0	0	0	0	0
LOC643923.11	0	0	0	0	0	0	0
LOC644096.19	673	496	440	513	567	220	630
LOC644139.17	2	6	6	1	1	1	0
LOC644186.22	7	3	21	16	14	1	4
LOC644591.1	1	2	2	2	1	1	3
LOC644672.11	0	3	0	3	0	0	0
LOC644820.x	2	6	7	3	10	1	7
LOC644907.7	17	13	10	23	17	13	7
LOC644928.1	1	1	6	3	1	2	0
LOC645191.19	79	36	16	48	21	0	8
LOC645296.15	1	9	10	5	5	5	1
LOC645441.1	0	2	5	4	5	1	1
LOC645545.17	16	13	2	3	0	0	2
LOC645843.3	0	0	0	2	2	0	0
LOC645993.17	0	0	0	0	0	0	0
LOC646174.16	5	2	4	2	0	0	0
LOC646227.5	3	1	6	1	2	0	5
LOC646405.13	1	0	4	0	0	2	1
LOC646450.3	38	47	21	27	61	36	26
LOC646486.8	0	1	0	0	0	0	0
LOC646498.3	1	1	0	0	0	0	0
LOC646603.4	0	2	0	0	0	1	0
LOC646627.1	0	2	0	0	0	2	2
LOC646643.19	12	3	1	0	0	0	0
LOC646892.15	5	5	13	0	5	0	20
LOC647174.13	2	11	9	4	0	2	7
LOC650137.15	0	3	1	0	0	0	9
LOC650293.4	0	0	0	0	0	0	0
LOC651503.6	0	0	0	0	0	0	0
LOC652968.22	317	330	591	502	292	176	352
LOC653314.5	36	246	32	33	20	19	11
LOC653319.16	1188	1576	714	1293	629	580	2467
LOC653606.1	0	0	1	0	0	0	0
LOC654346.17	0	1	5	0	2	1	0
LOC727811.3	0	0	0	0	0	4	0
LOC728137.y	0	0	0	0	0	0	0
LOC728269.x	0	0	0	0	0	0	0
LOC728340.5	0	0	0	1	1	0	0
LOC728410.10	0	0	0	0	0	0	0
LOC728621.1	35	32	32	27	52	5	2
LOC728635.14	13	17	9	7	3	1	2
LOC728661.1	3238	2268	2004	1724	804	2418	2126
LOC728819.2	83	0	1	40	37	36	30
LOC728858.12	1	0	0	0	0	0	5
LOC728957.8	0	0	0	0	1	0	13
LOC729355.16	0	0	0	0	0	0	0
LOC729384.11	0	0	0	0	0	0	0
LOC729617.17	11	10	14	10	15	18	5
LOC729747.19	6	34	6	97	40	22	36
LOC729920.7	53	100	72	92	243	24	95
LOC730394.5	4	3	3	0	9	2	0
LOC730647.7	0	1	1	1	1	1	0
LOC730754.3	25	23	18	15	24	17	21
LOC751071.11	202	77	44	198	160	120	82
LOC790955.11	1119	929	702	1134	988	910	602
LOC81691.16	286	352	992	1276	512	241	328
LOC87769.13	106	129	99	26	183	16	22
LOC90379.19	2873	2359	665	1221	2118	1450	1936
LOC90826.4	560	477	292	408	453	259	1795
LOC90835.16	349	89	354	511	259	191	82
LOC91431.4	199	223	239	286	200	207	266
LOC91461.2	52	11	158	10	557	109	72
LOC91893.11	100	142	152	348	327	139	143
LOC92270.5	43	21	66	93	8	29	5
LOC93349.2	540	83	67	466	744	396	1289
LOH11CR2A.11	27	22	118	503	95	26	3261
LOH12CR1.12	200	331	181	173	166	233	396
LONP1.19	4983	10258	4956	4183	5445	13063	5211
LONP2.16	2414	4950	3499	2394	5768	2050	14557
LONRF1.8	667	618	1241	211	647	468	290
LONRF2.2	3694	2216	471	1145	0	126	128
LONRF3.x	28	189	13	0	190	432	754
LOR.1	4	2	0	0	0	0	0
LOX.5	14	20	33	37	55	2240	1
LOXL1.15	3185	172	381	63	22	575	307
LOXL2.8	623	61	74	5	2269	10057	3710
LOXL3.2	412	415	225	328	558	433	431
LOXL4.10	541	1253	52	3	0	2479	2
LPA.6	0	1	1	0	0	1	0
LPAL2.6	1	5	6	0	0	48	41
LPAR1.9	16	13	173	627	31	708	0
LPAR2.19	2306	780	890	753	1724	178	2180
LPAR3.1	4	25	63	0	81	8	0
LPAR4.x	0	1	0	3	1	1	0
LPAR5.12	146	22	13	0	320	26	48
LPCAT1.5	33841	15959	4772	5646	3703	2697	16846
LPCAT2.16	341	21	435	196	3300	419	2573
LPCAT3.12	1200	2238	14824	651	1898	1181	4211
LPCAT4.15	916	247	757	821	895	1279	1310
LPGAT1.1	1734	2360	8573	2809	14931	2734	4668
LPHN1.19	6093	6443	7930	4721	7941	551	7230
LPHN2.1	134	445	208	56	4219	1429	118
LPHN3.4	68	2	3	40	0	4	0
LPIN1.2	808	1811	591	604	2526	5519	3318
LPIN2.18	1598	4076	3136	0	1751	6279	2532
LPIN3.20	3259	263	1415	1226	468	724	1113
LPL.8	0	29	0	2	2	133	2
LPO.17	17	20	20	1	7	0	0
LPP.3	1283	1363	1059	1049	1544	1457	3423
LPPR2.19	4638	2517	1874	2123	2404	938	1112
LPPR4.1	0	13	33	0	0	0	0
LPXN.11	117	236	77	150	161	2085	53
LRAT.4	13	84	126	0	169	47	127
LRBA.4	7615	9676	14402	9337	6805	2959	23186
LRCH1.13	1194	223	231	353	290	713	1175
LRCH2.x	0	2	0	0	175	0	0
LRCH3.3	1017	891	394	1818	531	986	621
LRCH4.7	3345	2253	2283	1995	2109	1744	2603
LRDD.11	1212	365	313	1133	770	1091	1962
LRFN1.19	352	403	377	260	535	86	635
LRFN2.6	18	113	21	5	2	3	0
LRFN3.19	901	458	434	356	740	509	1074
LRFN4.11	2916	2365	2295	1798	1726	1674	2347
LRFN5.14	25	9	5	0	2	0	0
LRG1.19	49	12	346	67	766	6	3269
LRGUK.7	12	10	2	12	4	2	0
LRIG1.3	2759	4640	4565	11605	2238	2493	1626
LRIG2.1	609	466	381	428	947	573	2045
LRIG3.12	465	758	244	5045	589	420	480
LRIT1.10	0	0	0	0	2	0	0
LRIT2.10	0	0	0	0	0	0	0
LRIT3.4	0	29	17	2	0	8	2
LRMP.12	0	4	2	1	0	0	0
LRP1.12	1948	478	743	1662	594	1562	4271
LRP10.14	19440	4845	9343	8806	4714	9006	13617
LRP11.6	3106	1493	2548	4348	6746	2073	4863
LRP12.8	412	231	545	356	1065	1861	1016
LRP1B.2	119	278	17	2	2	14	18
LRP2.2	64	881	30	8	2	6	218
LRP2BP.4	8	44	53	28	90	56	8
LRP3.19	3836	4201	3124	1659	2514	558	1947
LRP4.11	297	58	67	233	17	929	65
LRP5.11	7976	7928	6254	6519	6764	15721	6650
LRP5L.22	180	136	271	121	236	171	188
LRP6.12	1553	3835	2159	1463	3102	2240	3723
LRP8.1	1464	916	1240	1093	7469	2096	3211
LRPAP1.4	5243	2419	3293	4874	1672	5161	3571
LRPPRC.2	13251	18479	15576	13085	23337	15796	11872
LRRC1.6	2104	1808	1076	1505	3597	493	1921
LRRC10.12	0	4	2	0	0	0	0
LRRC14.8	2475	1811	1773	2174	887	1239	2244
LRRC15.3	90	16	27	93	0	136	2
LRRC16A.6	2100	1444	1956	1380	6361	398	3612
LRRC16B.14	218	92	19	15	34	7	12
LRRC17.7	23	24	7	2	9	0	0
LRRC18.10	0	0	0	0	0	0	0
LRRC19.9	1	0	10	0	2	0	9
LRRC2.3	5	4	2	0	1	8	4
LRRC20.10	930	807	1175	343	1130	3516	502
LRRC23.12	263	142	873	177	225	100	460
LRRC25.19	2	4	4	0	8	0	2
LRRC26.9	501	4014	1363	1091	116	277	512
LRRC27.10	309	153	202	192	125	301	69
LRRC28.15	651	183	271	407	335	229	279
LRRC29.16	27	35	59	68	21	12	61
LRRC3.21	237	35	21	100	326	113	202
LRRC30.18	0	6	1	0	0	1	0
LRRC31.3	0	35	873	120	2	0	0
LRRC32.11	14	20	0	0	1	4	7
LRRC33.3	12	22	3	3	56	553	2
LRRC34.3	1	13	4	9	2	72	0
LRRC36.16	4	5	32	1	0	6	1227
LRRC37A.17	1	3	24	8	5	1	2
LRRC37A2.17	20	34	47	65	30	31	22
LRRC37A3.17	229	140	370	59	150	16	72
LRRC37B.17	196	364	188	373	161	262	191
LRRC39.1	10	12	6	8	35	4	14
LRRC3B.3	0	0	0	0	0	0	0
LRRC4.7	58	30	19	0	64	2	0
LRRC40.1	480	756	547	736	2254	480	654
LRRC41.1	3277	4114	2053	2687	5355	2068	2259
LRRC42.1	940	786	629	1623	3510	1163	2727
LRRC43.12	10	15	5	37	7	0	1
LRRC45.17	1915	1795	3354	1707	1126	862	1072
LRRC46.17	110	41	146	296	26	30	62
LRRC47.1	3420	3300	2310	1943	2488	1945	2638
LRRC48.17	106	51	46	82	48	37	38
LRRC49.15	78	54	91	363	88	288	165
LRRC4B.19	68	20	24	10	2	2	1196
LRRC4C.11	2	17	23	0	0	0	0
LRRC50.16	261	29	22	124	3	1	9
LRRC51.11	366	513	750	1122	197	140	214
LRRC52.1	3	1	10	1	0	0	0
LRRC55.11	0	1	0	0	74	0	1
LRRC56.11	571	85	135	491	161	46	850
LRRC57.15	442	465	733	892	835	565	1522
LRRC58.3	4088	4905	3319	3725	5943	2852	6729
LRRC59.17	13322	43889	18586	14957	11130	15552	8536
LRRC6.8	52	60	179	91	0	33	1
LRRC61.7	1019	682	298	198	311	1532	511
LRRC66.4	3	12	0	0	6	1	0
LRRC67.8	1	7	0	4	0	0	0
LRRC69.8	16	10	6	42	10	20	8
LRRC7.1	0	0	0	1	0	2	0
LRRC8A.9	4589	4311	1308	2639	5177	11291	5091
LRRC8B.1	570	1057	904	1111	2976	231	1053
LRRC8C.1	118	32	59	23	654	811	169
LRRC8D.1	1148	2193	996	754	5787	1991	4958
LRRC8E.19	877	1153	1006	871	1351	672	1234
LRRCC1.8	783	992	1711	1734	439	309	199
LRRFIP1.2	4152	8009	6531	3794	7886	4961	8282
LRRFIP2.3	1269	987	1039	1664	2135	1482	2127
LRRIQ1.12	0	39	30	154	1	14	4
LRRIQ3.1	13	30	22	32	42	19	6
LRRIQ4.3	0	39	46	64	1	1	0
LRRK1.15	599	177	608	306	936	1662	163
LRRK2.12	8	247	2037	1192	10	112	6
LRRN1.3	8	2329	107	550	0	18	24
LRRN2.1	290	209	722	815	273	1	156
LRRN3.7	0	6	2	3276	0	0	0
LRRN4.20	6	16	6	29	23	36	89
LRRN4CL.11	3	11	0	3	0	9	5
LRRTM1.2	0	0	0	0	0	0	0
LRRTM2.5	9	13	11	6	13	7	4
LRRTM3.10	15	4	0	2	0	0	0
LRRTM4.2	1	6	3	1	0	0	2
LRSAM1.9	2784	2422	1258	3047	862	762	1828
LRTM1.3	2	3	0	0	0	0	0
LRTM2.12	20	68	274	3	1	1	2
LRWD1.7	2211	543	757	833	1432	1063	819
LSAMP.3	21	0	0	0	0	0	0
LSDP5.19	94	3	14	236	6	7	93
LSG1.3	3880	3255	2024	4949	1705	1904	2498
LSM1.8	659	777	3086	834	1083	369	1053
LSM10.1	681	712	531	476	1356	897	686
LSM11.5	424	102	180	415	442	277	112
LSM12.17	106	127	162	196	201	109	208
LSM14A.19	7065	9757	8961	6869	13437	3661	11149
LSM14B.20	7802	3209	5373	3689	2385	2991	6386
LSM2.6	1193	1001	815	1521	3154	1285	1470
LSM3.3	1551	1732	1841	3443	1315	1296	2480
LSM4.19	5062	3236	3485	3124	6706	3737	7098
LSM5.7	1202	1156	1408	826	1382	422	1334
LSM6.4	246	427	336	203	586	333	284
LSM7.19	1455	1145	753	939	1024	1411	1721
LSM8.7	712	1085	930	555	1535	885	842
LSMD1.17	1862	945	713	695	551	1522	1351
LSP1.11	17	23	20	13	29	41	18
LSR.19	12690	8637	6925	5845	12991	1835	14097
LSS.21	13824	7253	3301	5475	10325	8745	14718
LST-3TM12.12	0	1	2	0	0	18	0
LST1.6	8	4	1	2	9	8	3
LTA.6	3	10	0	2	22	4	0
LTA4H.12	3529	1591	2435	5408	3560	4299	1952
LTB.6	17	6	5	7	13	13	2
LTB4R.14	2448	1040	485	774	757	727	1632
LTB4R2.14	675	420	176	244	286	201	569
LTBP1.2	4812	1802	3518	9343	2574	1166	5637
LTBP2.14	653	168	337	419	253	1053	1735
LTBP3.11	6372	3190	2608	7183	8503	1759	10997
LTBP4.19	3725	291	984	1509	1367	5340	4228
LTBR.12	4837	2623	4440	1140	2074	4255	7206
LTC4S.5	93	80	60	22	48	12	83
LTF.3	1	36	121	0	2	6	4
LTK.15	3	25	11	19	6	124	7
LTV1.6	904	1017	789	984	2896	1327	1145
LUC7L.16	1836	1846	1075	768	478	1243	599
LUC7L2.7	4401	9013	4091	3787	5540	3236	7197
LUM.12	1	13	6	27	0	0	0
LUZP1.1	1930	1851	1411	1876	8884	3359	5597
LUZP2.11	61	4	101	0	2	0	1
LUZP4.x	0	1	1	0	2	0	0
LVRN.5	36	3	24	2	14	6	15
LXN.3	1346	523	0	0	1814	418	1
LY6D.8	179	20	3	1	228	0	132
LY6E.8	16484	15735	7504	22856	7820	8616	37957
LY6G5B.6	338	191	121	200	365	373	327
LY6G5C.6	133	80	32	24	46	26	2
LY6G6C.6	61	26	8	9	87	4	24
LY6G6D.6	3	1	0	1	2	0	0
LY6G6F.6	2	6	2	2	1	0	0
LY6H.8	5	0	0	0	0	0	0
LY6K.8	47	68	13	4	328	44	376
LY75.2	0	10	158	5	3100	340	26
LY86.6	0	4	0	0	0	0	0
LY9.1	6	14	12	0	3	1	136
LY96.8	0	1	2	2	1	71	0
LYAR.4	603	582	642	764	1471	2132	952
LYCAT.2	1075	1284	1238	928	2948	1381	2806
LYG1.2	10	23	15	6	35	2	46
LYG2.2	4	8	13	2	9	3	8
LYK5.17	3223	720	1114	1172	485	1084	421
LYL1.19	0	1	1	0	0	108	0
LYN.8	668	63	127	461	1457	1413	1794
LYNX1.8	73	10	789	1213	4669	81	2220
LYPD1.2	947	49	32	7	39	7	1151
LYPD2.8	4	5	1	0	8	0	1
LYPD3.19	5822	2954	2905	1261	1736	11	582
LYPD4.19	7	26	4	7	10	0	1
LYPD5.19	2	47	81	47	2610	1	34
LYPD6.2	1286	1446	703	194	1325	489	244
LYPLA1.8	1937	2338	3689	4353	3066	1347	4464
LYPLA2.1	1884	1795	1309	1717	2833	1443	2111
LYPLA3.16	1307	633	1376	1675	567	1007	2464
LYPLAL1.1	317	649	1353	822	1296	316	429
LYRM1.16	878	903	738	916	260	816	365
LYRM2.6	1588	1810	1112	1290	2959	967	1464
LYRM4.6	448	624	248	851	777	929	687
LYRM5.12	175	472	451	277	195	81	189
LYRM7.5	257	516	837	1044	900	591	329
LYSMD1.1	537	501	951	748	519	101	221
LYSMD2.15	384	90	264	210	727	206	421
LYSMD3.5	1399	898	1232	1301	2183	1028	799
LYSMD4.15	399	106	139	220	146	220	181
LYST.1	811	417	976	701	3051	563	1950
LYVE1.11	0	4	0	0	1	0	0
LYZ.12	7	26	21	0	0	17	0
LYZL1.10	1	0	0	0	0	0	2
LYZL2.10	3	2	10	0	0	0	0
LYZL4.3	0	23	0	0	1	4	0
LYZL6.17	0	3	0	0	0	0	0
LZIC.1	791	980	565	950	799	522	437
LZTFL1.3	285	431	460	945	1274	949	485
LZTR1.22	2023	3318	3206	1844	1750	2029	2155
LZTS1.8	1	90	13	4	0	23	2
LZTS2.10	2969	4777	3293	4365	1496	2821	1829
M6PR.12	2850	4047	6895	1292	2270	3494	5544
M6PRBP1.19	3237	1774	3273	4473	4465	6909	10131
MAB21L1.13	0	1	0	0	0	0	0
MAB21L2.4	0	0	0	0	4	0	0
MACF1.1	5919	8048	1561	2049	26549	16816	8527
MACROD1.11	2011	2557	1141	1637	1621	725	541
MACROD2.20	364	172	286	56	89	0	6
MAD1L1.7	1599	1697	789	1149	1206	2011	2443
MAD2L1.4	946	940	1869	1397	2179	1756	1998
MAD2L1BP.6	960	1086	598	919	1372	1067	1410
MAD2L2.1	1366	1627	789	1414	929	2021	2069
MADCAM1.19	4	3	7	0	2	5	3
MADD.11	6761	2699	3665	4151	3897	6582	2982
MAEA.4	3687	3525	2550	3593	1786	3484	6033
MAEL.1	4	0	39	0	2	45	1860
MAF.16	682	76	22	17	2	2	347
MAF1.8	8758	7465	3619	4522	2707	5975	5316
MAFA.8	115	26	7	127	0	3	53
MAFB.20	2080	1936	245	149	670	28	2519
MAFF.22	202	105	413	83	1518	2402	792
MAFG.17	1760	2359	2744	1173	2570	7554	6106
MAFK.7	2274	1746	3997	2635	3673	1360	3041
MAG.19	37	3	48	13	79	1	1073
MAGEA1.x	4	1	2	183	42	0	4
MAGEA10.x	0	1	0	0	9	0	0
MAGEA11.x	2	1	2	0	0	0	2
MAGEA12.x	0	0	758	4	5133	0	3688
MAGEA2.x	0	0	0	0	0	0	10
MAGEA2B.x	0	0	0	0	0	0	0
MAGEA3.x	2	0	163	14	4497	2	5099
MAGEA4.x	4	0	1	0	26	3	2
MAGEA5.x	0	5	0	0	6	0	34
MAGEA6.x	0	0	1048	2	4729	1	3945
MAGEA8.x	0	5	0	2	2	1	3
MAGEB1.x	0	0	0	0	4	0	0
MAGEB10.x	0	0	0	0	0	1	0
MAGEB16.x	0	0	0	0	0	0	0
